"filename", "language", "Markdown", "YAML", "JSON", "MS SQL", "Python", "JavaScript", "HTML", "TypeScript", "PowerShell", "JSON with Comments", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\.augment\rules\rele-comment.md", "Markdown", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\.claude\CLAUDE.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 95
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\.claude\hooks\diagnostics_parser.py", "Python", 0, 0, 0, 0, 313, 0, 0, 0, 0, 0, 0, 0, 80, 82, 475
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\.claude\settings.local.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\.github\workflows\ci.yml", "YAML", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 35
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\.lighthouse\after-final.json", "JSON", 0, 0, 5936, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5936
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\.lighthouse\after-final2.json", "JSON", 0, 0, 5926, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5926
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\.lighthouse\after-split.json", "JSON", 0, 0, 5935, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5935
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\.lighthouse\after-split2.json", "JSON", 0, 0, 5920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5920
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\.lighthouse\after.json", "JSON", 0, 0, 5958, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5958
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\.lighthouse\after2.json", "JSON", 0, 0, 5920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5920
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\.lighthouse\before.json", "JSON", 0, 0, 5910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5910
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\.obsidian\app.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\.obsidian\appearance.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\.obsidian\core-plugins.json", "JSON", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\.obsidian\workspace.json", "JSON", 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 190
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\.serena\memories\code_style_conventions.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\.serena\memories\project_overview.md", "Markdown", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\.serena\memories\repo_structure.md", "Markdown", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\.serena\memories\suggested_commands.md", "Markdown", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\.serena\memories\task_completion_checklist.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\.serena\project.yml", "YAML", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 8, 85
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\BET_TRANSACTION_FIX_GUIDE.md", "Markdown", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 117
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\CHAIN_EDITOR_GUIDE.md", "Markdown", 415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 514
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\CLAUDE.md", "Markdown", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 109
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\CRITICAL_FIXES_APPLIED.md", "Markdown", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 111
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\DAILY_CHECKIN_SUMMARY.md", "Markdown", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 152
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\DEBUGGING_GUIDE.md", "Markdown", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 167
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\DEPLOYMENT.md", "Markdown", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 102
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\ENHANCED_PAUSE_FEATURES.md", "Markdown", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 99
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\EXCEPTION_RULE_FIXES_CHANGELOG.md", "Markdown", 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 247
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\FIXES_SUMMARY.md", "Markdown", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 173
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\GROUP_VIEW_ENHANCEMENTS.md", "Markdown", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 35
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\How to Improve Self-Control by edmond EN.md", "Markdown", 532, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 454, 986
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\README-回收箱功能.md", "Markdown", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 83
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\README.md", "Markdown", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 152
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\README_EN.md", "Markdown", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 162
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\SOUND_FEATURE.md", "Markdown", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\TIMER_FEATURE_SUMMARY.md", "Markdown", 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 212
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\TOUCH_FIX_SUMMARY.md", "Markdown", 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 251
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\apply-migration.md", "Markdown", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 91
"c:\Users\xfc05\Downloads\momentum\momentum-new-feature-branch\check_bet_integrity.sql", "MS SQL", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 48
